Event	ID	Name			Wwise Object Path	Notes
	328562558	Play_Menu_Button_1			\Default Work Unit\Menu\Play_Menu_Button_1	
	1109600527	Play_Enemy_Idle			\Default Work Unit\Enemy\Play_Enemy_Idle	
	1248355840	Play_Shotgun_Reload			\Default Work Unit\Shotgun\Play_Shotgun_Reload	
	1374894833	Play_Wall_Destroy			\Default Work Unit\Environment\Play_Wall_Destroy	
	1660008929	Play_Door_Open			\Default Work Unit\Environment\Play_Door_Open	
	1886652945	Play_Pistol_Reload			\Default Work Unit\Pistol\Play_Pistol_Reload	
	1908822854	Play_Shotgun_Empty			\Default Work Unit\Shotgun\Play_Shotgun_Empty	
	2165847569	Play_Pistol_Empty			\Default Work Unit\Pistol\Play_Pistol_Empty	
	2231054099	Play_Health_Pickup			\Default Work Unit\Player\Play_Health_Pickup	
	2432025233	Play_Enemy_Atk			\Default Work Unit\Enemy\Play_Enemy_Atk	
	2448258477	Play_Enemy_Die			\Default Work Unit\Enemy\Play_Enemy_Die	
	2515369075	Play_Enemy_Dmg			\Default Work Unit\Enemy\Play_Enemy_Dmg	
	2876530582	Play_Shotgun_Shells			\Default Work Unit\Shotgun\Play_Shotgun_Shells	
	2955138351	Play_Pistol_Shoot			\Default Work Unit\Pistol\Play_Pistol_Shoot	
	2995294012	Play_Shotgun_Shoot			\Default Work Unit\Shotgun\Play_Shotgun_Shoot	
	3638125099	Play_Player_Damage			\Default Work Unit\Player\Play_Player_Damage	
	3639931096	Play_Railgun_Shoot			\Default Work Unit\Railgun\Play_Railgun_Shoot	
	4269559823	Play_Ammo_Pickup			\Default Work Unit\Player\Play_Ammo_Pickup	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	29899078	Railgun Shoot	C:\GameJam_26\nothing-game\Nordic_GameJam26_Wwise\.cache\43\{437BEF01-6ED0-F787-5A0D-AA66F6798A3E}.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Guns\Railgun\Railgun Shoot		575564
	98375766	Door Open	C:\GameJam_26\nothing-game\Nordic_GameJam26_Wwise\.cache\9B\{9B9DA063-DE4F-F761-A38A-712121C9F049}.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Door Open		236208
	268643418	Shotgun Shoot	C:\GameJam_26\nothing-game\Nordic_GameJam26_Wwise\.cache\04\{04C18EE4-A65E-A3C7-CA0D-78B2F8933334}.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Guns\Shotgun\Shotgun Shoot		280976
	277294612	Pistol Shoot	C:\GameJam_26\nothing-game\Nordic_GameJam26_Wwise\.cache\38\{38D571A5-3F9D-1A17-DB13-84E0DB3112ED}.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Guns\Pistol\Pistol Shoot		280976
	321431979	Shotgun Empty	C:\GameJam_26\nothing-game\Nordic_GameJam26_Wwise\.cache\48\{48BBFF53-984A-0FB4-D387-208841AC71C7}.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Guns\Shotgun\Shotgun Empty		280976
	333786727	Enemy Die	C:\GameJam_26\nothing-game\Nordic_GameJam26_Wwise\.cache\F1\{F13513DD-7D05-41D1-3408-0F85ADF364DB}.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Enemy Die		280976
	367251208	Enemy Atk	C:\GameJam_26\nothing-game\Nordic_GameJam26_Wwise\.cache\4B\{4B40E175-B0B4-7D98-FAC3-1C11EA693FBD}.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Enemy\Enemy Atk		151516
	450157659	Health Pickup	C:\GameJam_26\nothing-game\Nordic_GameJam26_Wwise\.cache\53\{538130C9-9178-E12D-C64D-C69E02B365AF}.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Player\Health Pickup		147768
	455380154	Pistol Empty	C:\GameJam_26\nothing-game\Nordic_GameJam26_Wwise\.cache\BF\{BF6F154E-A8F3-F589-7DE1-9F77F7022FF8}.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Guns\Pistol\Pistol Empty		280976
	508432336	Wall Destroy	C:\GameJam_26\nothing-game\Nordic_GameJam26_Wwise\.cache\48\{48991227-0854-1AF9-6543-5F8318361B5C}.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Environment\Wall Destroy		280976
